Weekday,Date,Time,Day,Month,Year
Monday, 1 April 1912, 11:04:18 pm,1,5,1912
Wednesday, 1 May 1912, 11:19:06 am,1,5,1912
Friday, 31 May 1912, 12:29:12 am,31,5,1912
Saturday, 29 June 1912, 02:33:30 pm,29,6,1912
Monday, 29 July 1912, 05:27:48 am,29,7,1912
Tuesday, 27 August 1912, 08:58:30 pm,27,8,1912
Thursday, 26 September 1912, 12:33:54 pm,26,9,1912
Saturday, 26 October 1912, 03:30:18 am,26,10,1912
Sunday, 24 November 1912, 05:11:54 pm,24,11,1912
Tuesday, 24 December 1912, 05:30:00 am,24,12,1912
Wednesday, 22 January 1913, 04:39:48 pm,22,1,1913
Friday, 21 February 1913, 03:03:06 am,21,2,1913
Saturday, 22 March 1913, 12:55:48 pm,22,3,1913
Sunday, 20 April 1913, 10:32:24 pm,20,5,1913
Tuesday, 20 May 1913, 08:17:54 am,20,5,1913
Wednesday, 18 June 1913, 06:53:18 pm,18,6,1913
Friday, 18 July 1913, 07:06:00 am,18,7,1913
Saturday, 16 August 1913, 09:26:36 pm,16,8,1913
Monday, 15 September 1913, 01:45:30 pm,15,9,1913
Wednesday, 15 October 1913, 07:06:24 am,15,10,1913
Friday, 14 November 1913, 12:11:06 am,14,11,1913
Saturday, 13 December 1913, 04:00:00 pm,13,12,1913
Monday, 12 January 1914, 06:08:42 am,12,1,1914
Tuesday, 10 February 1914, 06:34:18 pm,10,2,1914
Thursday, 12 March 1914, 05:18:12 am,12,3,1914
Friday, 10 April 1914, 02:27:54 pm,10,5,1914
Saturday, 9 May 1914, 10:30:24 pm,9,5,1914
Monday, 8 June 1914, 06:18:06 am,8,6,1914
Tuesday, 7 July 1914, 02:59:24 pm,7,7,1914
Thursday, 6 August 1914, 01:40:18 am,6,8,1914
Friday, 4 September 1914, 03:00:48 pm,4,9,1914
Sunday, 4 October 1914, 06:58:30 am,4,10,1914
Tuesday, 3 November 1914, 12:48:18 am,3,11,1914
Wednesday, 2 December 1914, 07:20:12 pm,2,12,1914
Friday, 1 January 1915, 01:20:12 pm,1,1,1915
Sunday, 31 January 1915, 05:40:54 am,31,1,1915
Monday, 1 March 1915, 07:32:24 pm,1,3,1915
Wednesday, 31 March 1915, 06:37:24 am,31,3,1915
Thursday, 29 April 1915, 03:19:06 pm,29,5,1915
Friday, 28 May 1915, 10:32:30 pm,28,5,1915
Sunday, 27 June 1915, 05:27:00 am,27,6,1915
Monday, 26 July 1915, 01:10:42 pm,26,7,1915
Tuesday, 24 August 1915, 10:40:06 pm,24,8,1915
Thursday, 23 September 1915, 10:34:48 am,23,9,1915
Saturday, 23 October 1915, 01:15:12 am,23,10,1915
Sunday, 21 November 1915, 06:36:00 pm,21,11,1915
Tuesday, 21 December 1915, 01:51:54 pm,21,12,1915
Thursday, 20 January 1916, 09:28:36 am,20,1,1916
Saturday, 19 February 1916, 03:28:12 am,19,2,1916
Sunday, 19 March 1916, 06:26:18 pm,19,3,1916
Tuesday, 18 April 1916, 06:07:12 am,18,5,1916
Wednesday, 17 May 1916, 04:11:06 pm,17,5,1916
Thursday, 15 June 1916, 11:41:18 pm,15,6,1916
Saturday, 15 July 1916, 06:39:48 am,15,7,1916
Sunday, 13 August 1916, 02:00:00 pm,13,8,1916
Monday, 11 September 1916, 10:30:30 pm,11,9,1916
Wednesday, 11 October 1916, 08:00:42 am,11,10,1916
Thursday, 9 November 1916, 09:17:42 pm,9,11,1916
Saturday, 9 December 1916, 01:43:24 pm,9,12,1916
Monday, 8 January 1917, 08:41:36 am,8,1,1917
Wednesday, 7 February 1917, 04:28:06 am,7,2,1917
Thursday, 8 March 1917, 10:57:42 pm,8,3,1917
Saturday, 7 April 1917, 02:48:30 pm,7,5,1917
Monday, 7 May 1917, 04:42:54 am,7,5,1917
Tuesday, 5 June 1917, 03:06:24 pm,5,6,1917
Wednesday, 4 July 1917, 11:40:12 pm,4,7,1917
Friday, 3 August 1917, 07:10:30 am,3,8,1917
Saturday, 1 September 1917, 02:28:12 pm,1,9,1917
Sunday, 30 September 1917, 09:30:48 pm,30,9,1917
Tuesday, 30 October 1917, 07:18:48 am,30,10,1917
Wednesday, 28 November 1917, 07:41:00 pm,28,11,1917
Friday, 28 December 1917, 10:51:18 am,28,12,1917
Sunday, 27 January 1918, 04:13:42 am,27,1,1918
Monday, 25 February 1918, 10:34:18 pm,25,2,1918
Wednesday, 27 March 1918, 04:32:24 pm,27,3,1918
Friday, 26 April 1918, 10:05:06 am,26,5,1918
Sunday, 26 May 1918, 12:32:12 am,26,5,1918
Monday, 24 June 1918, 12:37:54 pm,24,6,1918
Tuesday, 23 July 1918, 10:34:24 pm,23,7,1918
Thursday, 22 August 1918, 07:01:54 am,22,8,1918
Friday, 20 September 1918, 02:00:42 pm,20,9,1918
Saturday, 19 October 1918, 10:34:24 pm,19,10,1918
Monday, 18 November 1918, 08:32:36 am,18,11,1918
Tuesday, 17 December 1918, 08:17:06 pm,17,12,1918
Thursday, 16 January 1919, 09:44:00 am,16,1,1919
Saturday, 15 February 1919, 12:37:42 am,15,2,1919
Sunday, 16 March 1919, 04:40:42 pm,16,3,1919
Tuesday, 15 April 1919, 09:24:48 am,15,5,1919
Thursday, 15 May 1919, 02:00:54 am,15,5,1919
Friday, 13 June 1919, 05:27:54 pm,13,6,1919
Sunday, 13 July 1919, 07:01:54 am,13,7,1919
Monday, 11 August 1919, 06:39:06 pm,11,8,1919
Wednesday, 10 September 1919, 04:54:00 am,10,9,1919
Thursday, 9 October 1919, 02:38:18 pm,9,10,1919
Saturday, 8 November 1919, 12:34:48 am,8,11,1919
Sunday, 7 December 1919, 11:03:06 am,7,12,1919
Monday, 5 January 1920, 10:04:30 pm,5,1,1920
Wednesday, 4 February 1920, 09:42:00 am,4,2,1920
Thursday, 4 March 1920, 10:12:12 pm,4,3,1920
Saturday, 3 April 1920, 11:54:18 am,3,5,1920
Monday, 3 May 1920, 02:46:54 am,3,5,1920
Tuesday, 1 June 1920, 06:17:48 pm,1,6,1920
Thursday, 1 July 1920, 09:40:18 am,1,7,1920
Saturday, 31 July 1920, 12:19:00 am,31,7,1920
Sunday, 29 August 1920, 02:02:24 pm,29,8,1920
Tuesday, 28 September 1920, 02:56:18 am,28,9,1920
Wednesday, 27 October 1920, 03:08:36 pm,27,10,1920
Friday, 26 November 1920, 02:42:00 am,26,11,1920
Saturday, 25 December 1920, 01:38:12 pm,25,12,1920
Monday, 24 January 1921, 12:07:30 am,24,1,1921
Tuesday, 22 February 1921, 10:31:54 am,22,2,1921
Wednesday, 23 March 1921, 09:18:24 pm,23,3,1921
Friday, 22 April 1921, 08:49:00 am,22,5,1921
Saturday, 21 May 1921, 09:15:00 pm,21,5,1921
Monday, 20 June 1921, 10:40:54 am,20,6,1921
Wednesday, 20 July 1921, 01:07:18 am,20,7,1921
Thursday, 18 August 1921, 04:28:00 pm,18,8,1921
Saturday, 17 September 1921, 08:19:36 am,17,9,1921
Sunday, 16 October 1921, 11:59:12 pm,16,10,1921
Tuesday, 15 November 1921, 02:38:48 pm,15,11,1921
Thursday, 15 December 1921, 03:50:12 am,15,12,1921
Friday, 13 January 1922, 03:36:06 pm,13,1,1922
Sunday, 12 February 1922, 02:17:00 am,12,2,1922
Monday, 13 March 1922, 12:14:00 pm,13,3,1922
Tuesday, 11 April 1922, 09:43:12 pm,11,5,1922
Thursday, 11 May 1922, 07:05:48 am,11,5,1922
Friday, 9 June 1922, 04:57:36 pm,9,6,1922
Sunday, 9 July 1922, 04:06:54 am,9,7,1922
Monday, 7 August 1922, 05:18:24 pm,7,8,1922
Wednesday, 6 September 1922, 08:46:54 am,6,9,1922
Friday, 6 October 1922, 01:58:00 am,6,10,1922
Saturday, 4 November 1922, 07:36:12 pm,4,11,1922
Monday, 4 December 1922, 12:23:18 pm,4,12,1922
Wednesday, 3 January 1923, 03:33:12 am,3,1,1923
Thursday, 1 February 1923, 04:53:00 pm,1,2,1923
Saturday, 3 March 1923, 04:23:24 am,3,3,1923
Sunday, 1 April 1923, 02:09:36 pm,1,5,1923
Monday, 30 April 1923, 10:30:06 pm,30,5,1923
Wednesday, 30 May 1923, 06:07:00 am,30,5,1923
Thursday, 28 June 1923, 02:04:06 pm,28,6,1923
Friday, 27 July 1923, 11:32:24 pm,27,7,1923
Sunday, 26 August 1923, 11:29:12 am,26,8,1923
Tuesday, 25 September 1923, 02:15:36 am,25,9,1923
Wednesday, 24 October 1923, 07:26:06 pm,24,10,1923
Friday, 23 November 1923, 01:57:42 pm,23,11,1923
Sunday, 23 December 1923, 08:32:54 am,23,12,1923
Tuesday, 22 January 1924, 01:56:36 am,22,1,1924
Wednesday, 20 February 1924, 05:07:00 pm,20,2,1924
Friday, 21 March 1924, 05:29:54 am,21,3,1924
Saturday, 19 April 1924, 03:10:30 pm,19,5,1924
Sunday, 18 May 1924, 10:52:18 pm,18,5,1924
Tuesday, 17 June 1924, 05:41:18 am,17,6,1924
Wednesday, 16 July 1924, 12:48:48 pm,16,7,1924
Thursday, 14 August 1924, 09:18:54 pm,14,8,1924
Saturday, 13 September 1924, 07:59:42 am,13,9,1924
Sunday, 12 October 1924, 09:21:06 pm,12,10,1924
Tuesday, 11 November 1924, 01:30:30 pm,11,11,1924
Thursday, 11 December 1924, 08:03:18 am,11,12,1924
Saturday, 10 January 1925, 03:47:12 am,10,1,1925
Sunday, 8 February 1925, 10:48:54 pm,8,2,1925
Tuesday, 10 March 1925, 03:20:42 pm,10,3,1925
Thursday, 9 April 1925, 04:32:36 am,9,5,1925
Friday, 8 May 1925, 02:42:30 pm,8,5,1925
Saturday, 6 June 1925, 10:47:36 pm,6,6,1925
Monday, 6 July 1925, 05:53:36 am,6,7,1925
Tuesday, 4 August 1925, 12:58:48 pm,4,8,1925
Wednesday, 2 September 1925, 08:52:48 pm,2,9,1925
Friday, 2 October 1925, 06:22:42 am,2,10,1925
Saturday, 31 October 1925, 06:16:30 pm,31,10,1925
Monday, 30 November 1925, 09:10:48 am,30,11,1925
Wednesday, 30 December 1925, 03:01:18 am,30,12,1925
Thursday, 28 January 1926, 10:35:12 pm,28,1,1926
Saturday, 27 February 1926, 05:50:36 pm,27,2,1926
Monday, 29 March 1926, 11:00:06 am,29,3,1926
Wednesday, 28 April 1926, 01:16:30 am,28,5,1926
Thursday, 27 May 1926, 12:48:30 pm,27,5,1926
Friday, 25 June 1926, 10:12:36 pm,25,6,1926
Sunday, 25 July 1926, 06:13:12 am,25,7,1926
Monday, 23 August 1926, 01:37:36 pm,23,8,1926
