Weekday,Date,Time,Day,Month,Year
Wednesday, 14 April 1976, 12:48:42 pm,14,5,1976
Thursday, 13 May 1976, 09:04:00 pm,13,5,1976
Saturday, 12 June 1976, 05:15:00 am,12,6,1976
Sunday, 11 July 1976, 02:08:54 pm,11,7,1976
Tuesday, 10 August 1976, 12:43:30 am,10,8,1976
Wednesday, 8 September 1976, 01:52:00 pm,8,9,1976
Friday, 8 October 1976, 05:55:24 am,8,10,1976
Sunday, 7 November 1976, 12:14:36 am,7,11,1976
Monday, 6 December 1976, 07:14:30 pm,6,12,1976
Wednesday, 5 January 1977, 01:10:24 pm,5,1,1977
Friday, 4 February 1977, 04:56:12 am,4,2,1977
Saturday, 5 March 1977, 06:13:12 pm,5,3,1977
Monday, 4 April 1977, 05:08:54 am,4,5,1977
Tuesday, 3 May 1977, 02:03:24 pm,3,5,1977
Wednesday, 1 June 1977, 09:30:54 pm,1,6,1977
Friday, 1 July 1977, 04:24:00 am,1,7,1977
Saturday, 30 July 1977, 11:52:12 am,30,7,1977
Sunday, 28 August 1977, 09:10:00 pm,28,8,1977
Tuesday, 27 September 1977, 09:17:24 am,27,9,1977
Thursday, 27 October 1977, 12:35:24 am,27,10,1977
Friday, 25 November 1977, 06:31:24 pm,25,11,1977
Sunday, 25 December 1977, 01:49:00 pm,25,12,1977
Tuesday, 24 January 1978, 08:55:30 am,24,1,1978
Thursday, 23 February 1978, 02:26:18 am,23,2,1978
Friday, 24 March 1978, 05:20:00 pm,24,3,1978
Sunday, 23 April 1978, 05:11:00 am,23,5,1978
Monday, 22 May 1978, 02:16:42 pm,22,5,1978
Tuesday, 20 June 1978, 09:30:30 pm,20,6,1978
Thursday, 20 July 1978, 04:04:48 am,20,7,1978
Friday, 18 August 1978, 11:14:00 am,18,8,1978
Saturday, 16 September 1978, 08:01:06 pm,16,9,1978
Monday, 16 October 1978, 07:09:30 am,16,10,1978
Tuesday, 14 November 1978, 09:00:06 pm,14,11,1978
Thursday, 14 December 1978, 01:30:36 pm,14,12,1978
Saturday, 13 January 1979, 08:08:36 am,13,1,1979
Monday, 12 February 1979, 03:39:24 am,12,2,1979
Tuesday, 13 March 1979, 10:14:18 pm,13,3,1979
Thursday, 12 April 1979, 02:15:00 pm,12,5,1979
Saturday, 12 May 1979, 03:00:54 am,12,5,1979
Sunday, 10 June 1979, 12:55:18 pm,10,6,1979
Monday, 9 July 1979, 08:59:18 pm,9,7,1979
Wednesday, 8 August 1979, 04:21:06 am,8,8,1979
Thursday, 6 September 1979, 11:58:36 am,6,9,1979
Friday, 5 October 1979, 08:35:18 pm,5,10,1979
Sunday, 4 November 1979, 06:47:06 am,4,11,1979
Monday, 3 December 1979, 07:07:42 pm,3,12,1979
Wednesday, 2 January 1980, 10:02:06 am,2,1,1980
Friday, 1 February 1980, 03:21:12 am,1,2,1980
Saturday, 1 March 1980, 09:59:42 pm,1,3,1980
Monday, 31 March 1980, 04:13:54 pm,31,3,1980
Wednesday, 30 April 1980, 09:35:18 am,30,5,1980
Thursday, 29 May 1980, 11:27:36 pm,29,5,1980
Saturday, 28 June 1980, 11:02:06 am,28,6,1980
Sunday, 27 July 1980, 08:53:36 pm,27,7,1980
Tuesday, 26 August 1980, 05:42:12 am,26,8,1980
Wednesday, 24 September 1980, 02:07:42 pm,24,9,1980
Thursday, 23 October 1980, 09:51:54 pm,23,10,1980
Saturday, 22 November 1980, 07:38:54 am,22,11,1980
Sunday, 21 December 1980, 07:08:00 pm,21,12,1980
Tuesday, 20 January 1981, 08:39:00 am,20,1,1981
Wednesday, 18 February 1981, 11:58:12 pm,18,2,1981
Friday, 20 March 1981, 04:22:30 pm,20,3,1981
Sunday, 19 April 1981, 09:58:54 am,19,5,1981
Tuesday, 19 May 1981, 02:03:36 am,19,5,1981
Wednesday, 17 June 1981, 05:04:30 pm,17,6,1981
Friday, 17 July 1981, 06:38:48 am,17,7,1981
Saturday, 15 August 1981, 06:36:36 pm,15,8,1981
Monday, 14 September 1981, 05:08:42 am,14,9,1981
Tuesday, 13 October 1981, 01:49:24 pm,13,10,1981
Wednesday, 11 November 1981, 11:26:30 pm,11,11,1981
Friday, 11 December 1981, 09:41:24 am,11,12,1981
Saturday, 9 January 1982, 08:52:48 pm,9,1,1982
Monday, 8 February 1982, 08:57:06 am,8,2,1982
Tuesday, 9 March 1982, 09:45:06 pm,9,3,1982
Thursday, 8 April 1982, 12:18:18 pm,8,5,1982
Saturday, 8 May 1982, 02:44:42 am,8,5,1982
Sunday, 6 June 1982, 05:59:24 pm,6,6,1982
Tuesday, 6 July 1982, 09:31:36 am,6,7,1982
Thursday, 5 August 1982, 12:33:48 am,5,8,1982
Friday, 3 September 1982, 02:28:12 pm,3,9,1982
Sunday, 3 October 1982, 02:08:30 am,3,10,1982
Monday, 1 November 1982, 01:56:42 pm,1,11,1982
Wednesday, 1 December 1982, 01:20:42 am,1,12,1982
Thursday, 30 December 1982, 12:32:36 pm,30,12,1982
Friday, 28 January 1983, 11:26:18 pm,28,1,1983
Sunday, 27 February 1983, 09:58:06 am,27,2,1983
Monday, 28 March 1983, 09:26:42 pm,28,3,1983
Wednesday, 27 April 1983, 08:30:42 am,27,5,1983
Thursday, 26 May 1983, 08:47:42 pm,26,5,1983
Saturday, 25 June 1983, 10:31:48 am,25,6,1983
Monday, 25 July 1983, 01:26:54 am,25,7,1983
Tuesday, 23 August 1983, 04:59:18 pm,23,8,1983
Thursday, 22 September 1983, 08:36:12 am,22,9,1983
Friday, 21 October 1983, 10:53:18 pm,21,10,1983
Sunday, 20 November 1983, 01:29:24 pm,20,11,1983
Tuesday, 20 December 1983, 03:00:18 am,20,12,1983
Wednesday, 18 January 1984, 03:05:12 pm,18,1,1984
Friday, 17 February 1984, 01:41:06 am,17,2,1984
Saturday, 17 March 1984, 11:09:42 am,17,3,1984
Sunday, 15 April 1984, 09:10:48 pm,15,5,1984
Tuesday, 15 May 1984, 06:28:36 am,15,5,1984
Wednesday, 13 June 1984, 04:41:48 pm,13,6,1984
Friday, 13 July 1984, 04:19:42 am,13,7,1984
Saturday, 11 August 1984, 05:43:12 pm,11,8,1984
Monday, 10 September 1984, 09:01:00 am,10,9,1984
Wednesday, 10 October 1984, 12:58:06 am,10,10,1984
Thursday, 8 November 1984, 06:42:36 pm,8,11,1984
Saturday, 8 December 1984, 11:53:24 am,8,12,1984
Monday, 7 January 1985, 03:16:06 am,7,1,1985
Tuesday, 5 February 1985, 04:18:48 pm,5,2,1985
Thursday, 7 March 1985, 03:13:06 am,7,3,1985
Friday, 5 April 1985, 01:32:24 pm,5,5,1985
Saturday, 4 May 1985, 09:52:48 pm,4,5,1985
Monday, 3 June 1985, 05:50:24 am,3,6,1985
Tuesday, 2 July 1985, 02:08:18 pm,2,7,1985
Wednesday, 31 July 1985, 11:40:54 pm,31,7,1985
Friday, 30 August 1985, 11:27:12 am,30,8,1985
Sunday, 29 September 1985, 02:08:30 am,29,9,1985
Monday, 28 October 1985, 06:37:30 pm,28,10,1985
Wednesday, 27 November 1985, 01:41:42 pm,27,11,1985
Friday, 27 December 1985, 08:30:18 am,27,12,1985
Sunday, 26 January 1986, 01:31:00 am,26,1,1986
Monday, 24 February 1986, 04:02:12 pm,24,2,1986
Wednesday, 26 March 1986, 04:01:48 am,26,3,1986
Thursday, 24 April 1986, 02:46:24 pm,24,5,1986
Friday, 23 May 1986, 10:44:42 pm,23,5,1986
Sunday, 22 June 1986, 05:41:48 am,22,6,1986
Monday, 21 July 1986, 12:40:12 pm,21,7,1986
Tuesday, 19 August 1986, 08:54:12 pm,19,8,1986
Thursday, 18 September 1986, 07:33:42 am,18,9,1986
Friday, 17 October 1986, 08:21:36 pm,17,10,1986
Sunday, 16 November 1986, 01:11:36 pm,16,11,1986
Tuesday, 16 December 1986, 08:04:24 am,16,12,1986
Thursday, 15 January 1987, 03:30:24 am,15,1,1987
Friday, 13 February 1987, 09:57:54 pm,13,2,1987
Sunday, 15 March 1987, 02:12:42 pm,15,3,1987
Tuesday, 14 April 1987, 04:31:00 am,14,5,1987
Wednesday, 13 May 1987, 02:50:12 pm,13,5,1987
Thursday, 11 June 1987, 10:48:48 pm,11,6,1987
Saturday, 11 July 1987, 05:32:36 am,11,7,1987
Sunday, 9 August 1987, 12:17:18 pm,9,8,1987
Monday, 7 September 1987, 08:12:54 pm,7,9,1987
Wednesday, 7 October 1987, 05:12:18 am,7,10,1987
Thursday, 5 November 1987, 05:45:54 pm,5,11,1987
Saturday, 5 December 1987, 09:01:00 am,5,12,1987
Monday, 4 January 1988, 02:40:24 am,4,1,1988
Tuesday, 2 February 1988, 09:51:30 pm,2,2,1988
Thursday, 3 March 1988, 05:01:06 pm,3,3,1988
Saturday, 2 April 1988, 11:21:18 am,2,5,1988
Monday, 2 May 1988, 01:40:48 am,2,5,1988
Tuesday, 31 May 1988, 12:53:30 pm,31,5,1988
Wednesday, 29 June 1988, 09:45:48 pm,29,6,1988
Friday, 29 July 1988, 05:25:12 am,29,7,1988
Saturday, 27 August 1988, 12:55:48 pm,27,8,1988
Sunday, 25 September 1988, 08:07:06 pm,25,9,1988
Tuesday, 25 October 1988, 05:35:30 am,25,10,1988
Wednesday, 23 November 1988, 04:53:06 pm,23,11,1988
Friday, 23 December 1988, 06:28:54 am,23,12,1988
Saturday, 21 January 1989, 10:33:30 pm,21,1,1989
Monday, 20 February 1989, 04:31:54 pm,20,2,1989
Wednesday, 22 March 1989, 10:57:54 am,22,3,1989
Friday, 21 April 1989, 05:13:18 am,21,5,1989
Saturday, 20 May 1989, 08:16:18 pm,20,5,1989
Monday, 19 June 1989, 08:57:18 am,19,6,1989
Tuesday, 18 July 1989, 07:41:36 pm,18,7,1989
Thursday, 17 August 1989, 05:06:36 am,17,8,1989
Friday, 15 September 1989, 01:50:36 pm,15,9,1989
Saturday, 14 October 1989, 09:31:54 pm,14,10,1989
Monday, 13 November 1989, 06:51:24 am,13,11,1989
Tuesday, 12 December 1989, 05:29:54 pm,12,12,1989
Thursday, 11 January 1990, 05:56:48 am,11,1,1990
Friday, 9 February 1990, 08:15:42 pm,9,2,1990
Sunday, 11 March 1990, 11:58:30 am,11,3,1990
Tuesday, 10 April 1990, 05:18:30 am,10,5,1990
Wednesday, 9 May 1990, 09:30:48 pm,9,5,1990
Friday, 8 June 1990, 01:01:06 pm,8,6,1990
Sunday, 8 July 1990, 03:23:30 am,8,7,1990
Monday, 6 August 1990, 04:19:24 pm,6,8,1990
Wednesday, 5 September 1990, 03:45:36 am,5,9,1990
Thursday, 4 October 1990, 01:01:48 pm,4,10,1990
Friday, 2 November 1990, 10:48:18 pm,2,11,1990
Sunday, 2 December 1990, 08:49:42 am,2,12,1990
Monday, 31 December 1990, 07:35:12 pm,31,12,1990
Wednesday, 30 January 1991, 07:09:42 am,30,1,1991
Thursday, 28 February 1991, 07:24:36 pm,28,2,1991
Saturday, 30 March 1991, 08:17:24 am,30,3,1991
Sunday, 28 April 1991, 10:58:30 pm,28,5,1991
Tuesday, 28 May 1991, 01:36:36 pm,28,5,1991
Thursday, 27 June 1991, 04:58:24 am,27,6,1991
Friday, 26 July 1991, 08:24:24 pm,26,7,1991
Sunday, 25 August 1991, 11:07:12 am,25,8,1991
Tuesday, 24 September 1991, 12:40:00 am,24,9,1991
Wednesday, 23 October 1991, 12:08:12 pm,23,10,1991
Thursday, 21 November 1991, 11:56:18 pm,21,11,1991
Saturday, 21 December 1991, 11:23:12 am,21,12,1991
Sunday, 19 January 1992, 10:28:30 pm,19,1,1992
Tuesday, 18 February 1992, 09:04:06 am,18,2,1992
Wednesday, 18 March 1992, 07:17:48 pm,18,3,1992
Friday, 17 April 1992, 06:42:30 am,17,5,1992
Saturday, 16 May 1992, 06:02:36 pm,16,5,1992
Monday, 15 June 1992, 06:49:42 am,15,6,1992
Tuesday, 14 July 1992, 09:06:18 pm,14,7,1992
Thursday, 13 August 1992, 12:27:12 pm,13,8,1992
Saturday, 12 September 1992, 04:16:36 am,12,9,1992
Sunday, 11 October 1992, 07:03:00 pm,11,10,1992
Tuesday, 10 November 1992, 10:20:06 am,10,11,1992
Thursday, 10 December 1992, 12:40:42 am,10,12,1992
Friday, 8 January 1993, 01:37:12 pm,8,1,1993
Sunday, 7 February 1993, 12:55:24 am,7,2,1993
Monday, 8 March 1993, 10:45:54 am,8,3,1993
Tuesday, 6 April 1993, 08:43:18 pm,6,5,1993
Thursday, 6 May 1993, 05:33:42 am,6,5,1993
Friday, 4 June 1993, 03:02:12 pm,4,6,1993
Sunday, 4 July 1993, 01:45:06 am,4,7,1993
Monday, 2 August 1993, 02:09:36 pm,2,8,1993
Wednesday, 1 September 1993, 04:32:54 am,1,9,1993
Thursday, 30 September 1993, 07:53:48 pm,30,9,1993
Saturday, 30 October 1993, 01:37:36 pm,30,10,1993
Monday, 29 November 1993, 07:30:48 am,29,11,1993
Wednesday, 29 December 1993, 12:05:24 am,29,12,1993
Thursday, 27 January 1994, 02:22:48 pm,27,1,1994
Saturday, 26 February 1994, 02:15:00 am,26,2,1994
Sunday, 27 March 1994, 01:09:30 pm,27,3,1994
Monday, 25 April 1994, 09:45:00 pm,25,5,1994
Wednesday, 25 May 1994, 05:39:24 am,25,5,1994
Thursday, 23 June 1994, 01:33:06 pm,23,6,1994
Friday, 22 July 1994, 10:15:54 pm,22,7,1994
Sunday, 21 August 1994, 08:46:54 am,21,8,1994
Monday, 19 September 1994, 10:00:30 pm,19,9,1994
Wednesday, 19 October 1994, 01:17:48 pm,19,10,1994
Friday, 18 November 1994, 07:57:00 am,18,11,1994
Sunday, 18 December 1994, 03:17:06 am,18,12,1994
Monday, 16 January 1995, 09:26:18 pm,16,1,1995
Wednesday, 15 February 1995, 01:15:24 pm,15,2,1995
Friday, 17 March 1995, 02:25:36 am,17,3,1995
Saturday, 15 April 1995, 02:08:12 pm,15,5,1995
Sunday, 14 May 1995, 10:48:06 pm,14,5,1995
Tuesday, 13 June 1995, 06:03:30 am,13,6,1995
Wednesday, 12 July 1995, 12:49:18 pm,12,7,1995
Thursday, 10 August 1995, 08:15:30 pm,10,8,1995
Saturday, 9 September 1995, 05:36:36 am,9,9,1995
Sunday, 8 October 1995, 04:51:48 pm,8,10,1995
Tuesday, 7 November 1995, 08:20:30 am,7,11,1995
Thursday, 7 December 1995, 02:26:54 am,7,12,1995
Friday, 5 January 1996, 09:50:54 pm,5,1,1996
Sunday, 4 February 1996, 04:57:36 pm,4,2,1996
Tuesday, 5 March 1996, 10:22:42 am,5,3,1996
Thursday, 4 April 1996, 02:06:54 am,4,5,1996
Friday, 3 May 1996, 01:48:12 pm,3,5,1996
Saturday, 1 June 1996, 10:46:54 pm,1,6,1996
Monday, 1 July 1996, 05:58:06 am,1,7,1996
Tuesday, 30 July 1996, 12:35:12 pm,30,7,1996
Wednesday, 28 August 1996, 07:52:12 pm,28,8,1996
Friday, 27 September 1996, 04:50:48 am,27,9,1996
Saturday, 26 October 1996, 04:11:12 pm,26,10,1996
Monday, 25 November 1996, 05:09:54 am,25,11,1996
Tuesday, 24 December 1996, 09:41:00 pm,24,12,1996
Thursday, 23 January 1997, 04:10:42 pm,23,1,1997
Saturday, 22 February 1997, 11:26:42 am,22,2,1997
Monday, 24 March 1997, 05:45:12 am,24,3,1997
Tuesday, 22 April 1997, 10:33:30 pm,22,5,1997
Thursday, 22 May 1997, 11:13:24 am,22,5,1997
Friday, 20 June 1997, 09:08:48 pm,20,6,1997
Sunday, 20 July 1997, 05:20:18 am,20,7,1997
Monday, 18 August 1997, 12:55:24 pm,18,8,1997
Tuesday, 16 September 1997, 08:50:30 pm,16,9,1997
Thursday, 16 October 1997, 05:45:42 am,16,10,1997
Friday, 14 November 1997, 03:11:36 pm,14,11,1997
Sunday, 14 December 1997, 03:37:06 am,14,12,1997
Monday, 12 January 1998, 06:23:42 pm,12,1,1998
Wednesday, 11 February 1998, 11:22:36 am,11,2,1998
Friday, 13 March 1998, 05:34:12 am,13,3,1998
Sunday, 12 April 1998, 12:23:30 am,12,5,1998
Monday, 11 May 1998, 04:29:24 pm,11,5,1998
Wednesday, 10 June 1998, 06:18:18 am,10,6,1998
Thursday, 9 July 1998, 06:00:54 pm,9,7,1998
Saturday, 8 August 1998, 04:09:36 am,8,8,1998
Sunday, 6 September 1998, 01:21:24 pm,6,9,1998
Monday, 5 October 1998, 10:11:54 pm,5,10,1998
Wednesday, 4 November 1998, 06:18:12 am,4,11,1998
Thursday, 3 December 1998, 04:19:12 pm,3,12,1998
Saturday, 2 January 1999, 03:49:30 am,2,1,1999
Sunday, 31 January 1999, 05:06:30 pm,31,1,1999
Tuesday, 2 March 1999, 07:58:30 am,2,3,1999
Thursday, 1 April 1999, 12:48:54 am,1,5,1999
Friday, 30 April 1999, 04:54:36 pm,30,5,1999
Sunday, 30 May 1999, 08:39:54 am,30,5,1999
Monday, 28 June 1999, 11:37:30 pm,28,6,1999
Wednesday, 28 July 1999, 01:24:48 pm,28,7,1999
Friday, 27 August 1999, 01:47:48 am,27,8,1999
Saturday, 25 September 1999, 12:51:06 pm,25,9,1999
Sunday, 24 October 1999, 11:02:24 pm,24,10,1999
Tuesday, 23 November 1999, 08:03:42 am,23,11,1999
Wednesday, 22 December 1999, 06:31:18 pm,22,12,1999
Friday, 21 January 2000, 05:40:24 am [**],21,1,2000
Saturday, 19 February 2000, 05:26:42 pm,19,2,2000
Monday, 20 March 2000, 05:44:24 am,20,3,2000
Tuesday, 18 April 2000, 07:41:30 pm,18,5,2000
Thursday, 18 May 2000, 09:34:24 am,18,5,2000
Saturday, 17 June 2000, 12:27:00 am,17,6,2000
Sunday, 16 July 2000, 03:55:12 pm,16,7,2000
Tuesday, 15 August 2000, 07:12:36 am,15,8,2000
Wednesday, 13 September 2000, 09:36:48 pm,13,9,2000
Friday, 13 October 2000, 10:53:00 am,13,10,2000
Saturday, 11 November 2000, 10:14:36 pm,11,11,2000
Monday, 11 December 2000, 10:02:48 am,11,12,2000
Tuesday, 9 January 2001, 09:24:24 pm [**],9,1,2001
Thursday, 8 February 2001, 08:11:42 am,8,2,2001
Friday, 9 March 2001, 06:23:06 pm,9,3,2001
Sunday, 8 April 2001, 05:21:54 am,8,5,2001
Monday, 7 May 2001, 03:52:30 pm,7,5,2001
Wednesday, 6 June 2001, 03:39:18 am,6,6,2001
Thursday, 5 July 2001, 05:03:48 pm,5,7,2001
Saturday, 4 August 2001, 07:55:42 am,4,8,2001
Sunday, 2 September 2001, 11:43:00 pm,2,9,2001
Tuesday, 2 October 2001, 03:48:48 pm,2,10,2001
Thursday, 1 November 2001, 06:41:00 am,1,11,2001
Friday, 30 November 2001, 09:49:00 pm,30,11,2001
Sunday, 30 December 2001, 11:40:30 am,30,12,2001
Monday, 28 January 2002, 11:50:30 pm,28,1,2002
Wednesday, 27 February 2002, 10:16:42 am,27,2,2002
Thursday, 28 March 2002, 07:24:54 pm,28,3,2002
Saturday, 27 April 2002, 04:59:54 am,27,5,2002
Sunday, 26 May 2002, 01:51:12 pm,26,5,2002
Monday, 24 June 2002, 11:42:24 pm,24,6,2002
Wednesday, 24 July 2002, 11:07:00 am,24,7,2002
Friday, 23 August 2002, 12:29:12 am,23,8,2002
Saturday, 21 September 2002, 03:59:12 pm,21,9,2002
Monday, 21 October 2002, 09:20:00 am,21,10,2002
Wednesday, 20 November 2002, 02:33:42 am,20,11,2002
Thursday, 19 December 2002, 08:10:12 pm,19,12,2002
Saturday, 18 January 2003, 11:47:36 am,18,1,2003
Monday, 17 February 2003, 12:51:06 am,17,2,2003
Tuesday, 18 March 2003, 11:34:30 am,18,3,2003
Wednesday, 16 April 2003, 09:35:42 pm,16,5,2003
Friday, 16 May 2003, 05:35:54 am,16,5,2003
Saturday, 14 June 2003, 01:15:54 pm,14,6,2003
Sunday, 13 July 2003, 09:21:24 pm,13,7,2003
Tuesday, 12 August 2003, 06:48:12 am,12,8,2003
Wednesday, 10 September 2003, 06:36:12 pm,10,9,2003
Friday, 10 October 2003, 09:27:24 am,10,10,2003
Sunday, 9 November 2003, 02:13:18 am [**],9,11,2003
Monday, 8 December 2003, 09:36:42 pm,8,12,2003
Wednesday, 7 January 2004, 04:40:06 pm,7,1,2004
Friday, 6 February 2004, 09:46:54 am,6,2,2004
Sunday, 7 March 2004, 12:14:12 am,7,3,2004
Monday, 5 April 2004, 01:02:42 pm,5,5,2004
Tuesday, 4 May 2004, 10:33:24 pm [**],4,5,2004
Thursday, 3 June 2004, 06:19:36 am,3,6,2004
Friday, 2 July 2004, 01:08:54 pm,2,7,2004
Saturday, 31 July 2004, 08:05:06 pm,31,7,2004
Monday, 30 August 2004, 04:22:12 am,30,8,2004
Tuesday, 28 September 2004, 03:09:18 pm,28,9,2004
Thursday, 28 October 2004, 05:07:24 am [**],28,10,2004
Friday, 26 November 2004, 09:07:12 pm,26,11,2004
Sunday, 26 December 2004, 04:06:18 pm,26,12,2004
Tuesday, 25 January 2005, 11:32:18 am,25,1,2005
Thursday, 24 February 2005, 05:53:42 am,24,2,2005
Friday, 25 March 2005, 09:58:30 pm,25,3,2005
Sunday, 24 April 2005, 12:06:30 pm,24,5,2005
Monday, 23 May 2005, 10:18:12 pm,23,5,2005
Wednesday, 22 June 2005, 06:13:48 am,22,6,2005
Thursday, 21 July 2005, 01:00:12 pm,21,7,2005
Friday, 19 August 2005, 07:53:00 pm,19,8,2005
Sunday, 18 September 2005, 04:00:48 am,18,9,2005
Monday, 17 October 2005, 02:13:36 pm,17,10,2005
Wednesday, 16 November 2005, 01:57:30 am,16,11,2005
Thursday, 15 December 2005, 05:15:30 pm,15,12,2005
Saturday, 14 January 2006, 10:48:06 am,14,1,2006
Monday, 13 February 2006, 05:44:12 am,13,2,2006
Wednesday, 15 March 2006, 12:35:24 am,15,3,2006
Thursday, 13 April 2006, 06:40:06 pm,13,5,2006
Saturday, 13 May 2006, 08:51:06 am,13,5,2006
Sunday, 11 June 2006, 08:03:06 pm,11,6,2006
Tuesday, 11 July 2006, 05:01:54 am,11,7,2006
Wednesday, 9 August 2006, 12:54:00 pm,9,8,2006
Thursday, 7 September 2006, 08:42:00 pm,7,9,2006
Saturday, 7 October 2006, 05:12:48 am,7,10,2006
Sunday, 5 November 2006, 01:58:18 pm,5,11,2006
Tuesday, 5 December 2006, 01:24:48 am,5,12,2006
Wednesday, 3 January 2007, 02:57:24 pm,3,1,2007
Friday, 2 February 2007, 06:45:18 am,2,2,2007
Sunday, 4 March 2007, 12:17:06 am [**],4,3,2007
Monday, 2 April 2007, 07:15:00 pm,2,5,2007
Wednesday, 2 May 2007, 12:09:24 pm,2,5,2007
Friday, 1 June 2007, 03:03:36 am,1,6,2007
Saturday, 30 June 2007, 03:48:42 pm,30,6,2007
Monday, 30 July 2007, 02:47:42 am,30,7,2007
Tuesday, 28 August 2007, 12:35:06 pm,28,8,2007
Wednesday, 26 September 2007, 09:45:06 pm,26,9,2007
Friday, 26 October 2007, 06:51:30 am,26,10,2007
Saturday, 24 November 2007, 03:29:48 pm,24,11,2007
Monday, 24 December 2007, 02:15:36 am,24,12,2007
Tuesday, 22 January 2008, 02:34:42 pm,22,1,2008
Thursday, 21 February 2008, 04:30:30 am [**],21,2,2008
Friday, 21 March 2008, 07:39:54 pm,21,3,2008
Sunday, 20 April 2008, 12:25:24 pm,20,5,2008
Tuesday, 20 May 2008, 04:11:24 am,20,5,2008
Wednesday, 18 June 2008, 07:30:24 pm,18,6,2008
Friday, 18 July 2008, 09:59:00 am,18,7,2008
Saturday, 16 August 2008, 11:16:24 pm,16,8,2008
Monday, 15 September 2008, 11:13:24 am,15,9,2008
Tuesday, 14 October 2008, 10:02:24 pm,14,10,2008
Thursday, 13 November 2008, 07:17:18 am,13,11,2008
Friday, 12 December 2008, 05:37:06 pm,12,12,2008
Sunday, 11 January 2009, 04:26:36 am,11,1,2009
Monday, 9 February 2009, 03:49:00 pm,9,2,2009
Wednesday, 11 March 2009, 03:37:36 am,11,3,2009
Thursday, 9 April 2009, 04:55:42 pm,9,5,2009
Saturday, 9 May 2009, 06:01:18 am,9,5,2009
Sunday, 7 June 2009, 08:11:36 pm,7,6,2009
Tuesday, 7 July 2009, 11:21:18 am,7,7,2009
Thursday, 6 August 2009, 02:54:42 am,6,8,2009
Friday, 4 September 2009, 06:02:30 pm,4,9,2009
Sunday, 4 October 2009, 08:10:00 am,4,10,2009
Monday, 2 November 2009, 08:13:48 pm,2,11,2009
Wednesday, 2 December 2009, 08:30:18 am,2,12,2009
Thursday, 31 December 2009, 08:12:36 pm [*],31,12,2009
Saturday, 30 January 2010, 07:17:36 am,30,1,2010
Sunday, 28 February 2010, 05:37:54 pm,28,2,2010
Tuesday, 30 March 2010, 04:25:24 am,30,3,2010
Wednesday, 28 April 2010, 02:18:30 pm,28,5,2010
Friday, 28 May 2010, 01:07:18 am,28,5,2010
Saturday, 26 June 2010, 01:30:24 pm,26,6,2010
Monday, 26 July 2010, 03:36:36 am,26,7,2010
Tuesday, 24 August 2010, 07:04:36 pm,24,8,2010
Thursday, 23 September 2010, 11:17:12 am,23,9,2010
Saturday, 23 October 2010, 03:36:30 am,23,10,2010
Sunday, 21 November 2010, 06:27:24 pm,21,11,2010
Tuesday, 21 December 2010, 09:13:30 am [**],21,12,2010
Wednesday, 19 January 2011, 10:21:24 pm,19,1,2011
Friday, 18 February 2011, 09:35:42 am,18,2,2011
Saturday, 19 March 2011, 07:10:06 pm,19,3,2011
Monday, 18 April 2011, 04:44:00 am,18,5,2011
Tuesday, 17 May 2011, 01:08:42 pm,17,5,2011
Wednesday, 15 June 2011, 10:13:36 pm [**],15,6,2011
Friday, 15 July 2011, 08:39:36 am,15,7,2011
Saturday, 13 August 2011, 08:57:30 pm,13,8,2011
Monday, 12 September 2011, 11:26:42 am,12,9,2011
Wednesday, 12 October 2011, 04:05:42 am,12,10,2011
Thursday, 10 November 2011, 09:16:06 pm,10,11,2011
Saturday, 10 December 2011, 03:36:24 pm [**],10,12,2011
Monday, 9 January 2012, 08:30:06 am,9,1,2012
Tuesday, 7 February 2012, 10:53:48 pm,7,2,2012
Thursday, 8 March 2012, 10:39:30 am,8,3,2012
Friday, 6 April 2012, 09:18:42 pm,6,5,2012
Sunday, 6 May 2012, 05:35:06 am,6,5,2012
Monday, 4 June 2012, 01:11:36 pm [*],4,6,2012
Tuesday, 3 July 2012, 08:51:54 pm,3,7,2012
Thursday, 2 August 2012, 05:27:30 am,2,8,2012
Friday, 31 August 2012, 03:58:06 pm,31,8,2012
Sunday, 30 September 2012, 05:18:36 am,30,9,2012
Monday, 29 October 2012, 08:49:30 pm,29,10,2012
Wednesday, 28 November 2012, 03:46:00 pm,28,11,2012
Friday, 28 December 2012, 11:21:12 am,28,12,2012
Sunday, 27 January 2013, 05:38:24 am,27,1,2013
Monday, 25 February 2013, 09:26:06 pm,25,2,2013
Wednesday, 27 March 2013, 10:27:18 am,27,3,2013
Thursday, 25 April 2013, 09:57:06 pm [*],25,5,2013
Saturday, 25 May 2013, 06:25:00 am,25,5,2013
Sunday, 23 June 2013, 01:32:18 pm,23,6,2013
Monday, 22 July 2013, 08:15:36 pm,22,7,2013
Wednesday, 21 August 2013, 03:44:36 am,21,8,2013
Thursday, 19 September 2013, 01:12:54 pm,19,9,2013
Saturday, 19 October 2013, 01:37:42 am,19,10,2013
Sunday, 17 November 2013, 04:15:48 pm,17,11,2013
Tuesday, 17 December 2013, 10:28:06 am,17,12,2013
Thursday, 16 January 2014, 05:52:12 am,16,1,2014
Saturday, 15 February 2014, 12:53:00 am,15,2,2014
Sunday, 16 March 2014, 06:08:24 pm,16,3,2014
Tuesday, 15 April 2014, 09:42:18 am [**],15,5,2014
Wednesday, 14 May 2014, 09:15:54 pm,14,5,2014
